PROJECT_ID,SAMPLE_ID,MATRIX,COLLECT_DATE,LAB_SAMPLE_ID,SAMPLE_TYPE,LOCATION,REC_DATE,RUN_DATE_TIME,ANL_BATCH,PRP_BATCH,EXTRACTION_CODE,EXTRACTED_DATE,ANALYTE,CAS_NUMBER,ANALYTE_FLAG,ANALYTICAL_METHOD,RESULT,RESULTFLAG,TEXT_RESULT,REPDL,LIMIT_DEFINITION,UNITS,ANALYTICAL_CUT,INITIAL_WT_VOL,FINAL_VOL,PCT_SOLIDS,TDF,AMOUNT_SPIKED,PERCENT_RECOVERED,REC_LIMIT_LOW,REC_LIMIT_HIGH,INITIAL_CONC,SAMPLE_RPD,RPD_LIMIT_LOW,RPD_LIMIT_HIGH,REP_SIG_DIGS,ALLOWABLE_LIMIT,DISSOLVED,ANALYSIS_GROUP,METHOD_ORDER,ANALYTE_ORDER,LOQ,LOD,DL,SDG
,CB for HBN 1854368 (WFI/3037),1,,1711747,CB,,05/08/2023 11:35,05/05/2023 13:29,WFI3037,,,,Total Nitrate/Nitrite-N,Nitrate+Nitrite,N,SM21 4500NO3-F,0,U,,0.05,LOD,mg/L,1,5,5,,,,,,,,,,,3,,.,Waters Department,20,11,0.1,0.05,0.025,1231846
,CB for HBN 1854368 (WFI/3037),1,,1711749,CB,,05/08/2023 11:35,05/05/2023 13:06,WFI3037,,,,,Nitrate,N,SM21 4500NO3-F,0,U,,0.05,LOD,mg/L,1,5,5,,,,,,,,,,,3,,.,Waters Department,20,9,0.1,0.05,0.025,1231846
,CB for HBN 1854368 (WFI/3037),1,,1711749,CB,,05/08/2023 11:35,05/05/2023 13:06,WFI3037,,,,,Nitrite,N,SM21 4500NO3-F,0,U,,0.05,LOD,mg/L,1,5,5,,,,,,,,,,,3,,.,Waters Department,20,10,0.1,0.05,0.025,1231846
,CB for HBN 1854368 (WFI/3037),1,,1711749,CB,,05/08/2023 11:35,05/05/2023 13:06,WFI3037,,,,Total Nitrate/Nitrite-N,Nitrate+Nitrite,N,SM21 4500NO3-F,0,U,,0.05,LOD,mg/L,1,5,5,,,,,,,,,,,3,,.,Waters Department,20,11,0.1,0.05,0.025,1231846
,CB for HBN 1854503 (WDA/5496),1,,1712011,CB,,05/09/2023 15:40,05/09/2023 14:23,WDA5496,,,,Total Phosphorus,Total Phosph.,N,"SM21 4500P-B,E",0,U,,0.02,LOD,mg/L,1,10,10,,,,,,,,,,,3,,T,Waters Department,20,266,0.04,0.02,0.012,1231846
,CB for HBN 1854503 (WDA/5496),1,,1712013,CB,,05/09/2023 15:40,05/09/2023 14:29,WDA5496,,,,Total Phosphorus,Total Phosph.,N,"SM21 4500P-B,E",0,U,,0.02,LOD,mg/L,1,10,10,,,,,,,,,,,3,,T,Waters Department,20,266,0.04,0.02,0.012,1231846
,CB for HBN 1854503 [WDA/5496],1,,1712008,CB,,05/09/2023 15:37,05/09/2023 14:00,WDA5496,,,,Total Phosphorus,Total Phosph.,N,"SM21 4500P-B,E",0,U,,0.02,LOD,mg/L,1,10,10,,,,,,,,,,,3,,T,Waters Department,20,266,0.04,0.02,0.012,1231846
,CB for HBN 1854503 [WDA/5496],1,,1712010,CB,,05/09/2023 15:37,05/09/2023 14:12,WDA5496,,,,Total Phosphorus,Total Phosph.,N,"SM21 4500P-B,E",0,U,,0.02,LOD,mg/L,1,10,10,,,,,,,,,,,3,,T,Waters Department,20,266,0.04,0.02,0.012,1231846
,CB for HBN 1855370 (WDA/5503),1,,1713348,CB,,05/18/2023 13:15,05/17/2023 16:53,WDA5503,,,,Total Phosphorus,Total Phosph.,N,"SM21 4500P-B,E",0,U,,0.02,LOD,mg/L,1,10,10,,,,,,,,,,,3,,T,Waters Department,20,266,0.04,0.02,0.012,1231846
,CB for HBN 1855370 (WDA/5503),1,,1713350,CB,,05/18/2023 13:15,05/17/2023 17:31,WDA5503,,,,Total Phosphorus,Total Phosph.,N,"SM21 4500P-B,E",0,U,,0.02,LOD,mg/L,1,10,10,,,,,,,,,,,3,,T,Waters Department,20,266,0.04,0.02,0.012,1231846
,CB for HBN 1855370 (WDA/5503),1,,1713352,CB,,05/18/2023 13:15,05/17/2023 17:35,WDA5503,,,,Total Phosphorus,Total Phosph.,N,"SM21 4500P-B,E",0,U,,0.02,LOD,mg/L,1,10,10,,,,,,,,,,,3,,T,Waters Department,20,266,0.04,0.02,0.012,1231846
,CB for HBN 1855370 [WDA/5503],1,,1713344,CB,,05/18/2023 13:12,05/17/2023 16:31,WDA5503,,,,Total Phosphorus,Total Phosph.,N,"SM21 4500P-B,E",0,U,,0.02,LOD,mg/L,1,10,10,,,,,,,,,,,3,,T,Waters Department,20,266,0.04,0.02,0.012,1231846
,CB for HBN 1855370 [WDA/5503],1,,1713346,CB,,05/18/2023 13:12,05/17/2023 16:42,WDA5503,,,,Total Phosphorus,Total Phosph.,N,"SM21 4500P-B,E",0,U,,0.02,LOD,mg/L,1,10,10,,,,,,,,,,,3,,T,Waters Department,20,266,0.04,0.02,0.012,1231846
,CB for HBN 1855831 (MMS/11929),1,,1713670,CB,,05/20/2023 13:20,05/19/2023 21:07,MMS11929,,,,Arsenic,7440-38-2,N,EP200.8 ,0,U,,1,LOD,ug/L,1,100,100,,,,,,,,,,,3,,.,Metals by ICP/MS,15,3,2,1,0.6,1231846
,CB for HBN 1855831 (MMS/11929),1,,1713670,CB,,05/20/2023 13:20,05/19/2023 21:07,MMS11929,,,,Cadmium,7440-43-9,N,EP200.8 ,0,U,,0.1,LOD,ug/L,1,100,100,,,,,,,,,,,3,,.,Metals by ICP/MS,15,7,0.2,0.1,0.06,1231846
,CB for HBN 1855831 (MMS/11929),1,,1713670,CB,,05/20/2023 13:20,05/19/2023 21:07,MMS11929,,,,Chromium,7440-47-3,N,EP200.8 ,0,U,,1,LOD,ug/L,1,100,100,,,,,,,,,,,3,,.,Metals by ICP/MS,15,9,2,1,1,1231846
,CB for HBN 1855831 (MMS/11929),1,,1713670,CB,,05/20/2023 13:20,05/19/2023 21:07,MMS11929,,,,Copper,7440-50-8,N,EP200.8 ,0,U,,0.6,LOD,ug/L,1,100,100,,,,,,,,,,,3,,.,Metals by ICP/MS,15,11,1.2,0.6,0.4,1231846
,CB for HBN 1855831 (MMS/11929),1,,1713670,CB,,05/20/2023 13:20,05/19/2023 21:07,MMS11929,,,,Lead,7439-92-1,N,EP200.8 ,0,U,,0.4,LOD,ug/L,1,100,100,,,,,,,,,,,3,,.,Metals by ICP/MS,15,13,0.8,0.4,0.2,1231846
,CB for HBN 1855831 (MMS/11929),1,,1713670,CB,,05/20/2023 13:20,05/19/2023 21:07,MMS11929,,,,Zinc,7440-66-6,N,EP200.8 ,0,U,,2,LOD,ug/L,1,100,100,,,,,,,,,,,3,,.,Metals by ICP/MS,15,32,4,2,1.24,1231846
,CB for HBN 1855831 (MMS/11929),1,,1713672,CB,,05/20/2023 13:20,05/19/2023 20:35,MMS11929,,,,Arsenic,7440-38-2,N,EP200.8 ,0,U,,1,LOD,ug/L,1,100,100,,,,,,,,,,,3,,.,Metals by ICP/MS,15,3,2,1,0.6,1231846
,CB for HBN 1855831 (MMS/11929),1,,1713672,CB,,05/20/2023 13:20,05/19/2023 20:35,MMS11929,,,,Cadmium,7440-43-9,N,EP200.8 ,0,U,,0.1,LOD,ug/L,1,100,100,,,,,,,,,,,3,,.,Metals by ICP/MS,15,7,0.2,0.1,0.06,1231846
,CB for HBN 1855831 (MMS/11929),1,,1713672,CB,,05/20/2023 13:20,05/19/2023 20:35,MMS11929,,,,Chromium,7440-47-3,N,EP200.8 ,0,U,,1,LOD,ug/L,1,100,100,,,,,,,,,,,3,,.,Metals by ICP/MS,15,9,2,1,1,1231846
,CB for HBN 1855831 (MMS/11929),1,,1713672,CB,,05/20/2023 13:20,05/19/2023 20:35,MMS11929,,,,Copper,7440-50-8,N,EP200.8 ,0,U,,0.6,LOD,ug/L,1,100,100,,,,,,,,,,,3,,.,Metals by ICP/MS,15,11,1.2,0.6,0.4,1231846
,CB for HBN 1855831 (MMS/11929),1,,1713672,CB,,05/20/2023 13:20,05/19/2023 20:35,MMS11929,,,,Lead,7439-92-1,N,EP200.8 ,0,U,,0.4,LOD,ug/L,1,100,100,,,,,,,,,,,3,,.,Metals by ICP/MS,15,13,0.8,0.4,0.2,1231846
,CB for HBN 1855831 (MMS/11929),1,,1713672,CB,,05/20/2023 13:20,05/19/2023 20:35,MMS11929,,,,Zinc,7440-66-6,N,EP200.8 ,0,U,,2,LOD,ug/L,1,100,100,,,,,,,,,,,3,,.,Metals by ICP/MS,15,32,4,2,1.24,1231846
,CB for HBN 1855831 (MMS/11929),1,,1713674,CB,,05/20/2023 13:21,05/19/2023 20:05,MMS11929,,,,Arsenic,7440-38-2,N,EP200.8 ,0,U,,1,LOD,ug/L,1,100,100,,,,,,,,,,,3,,.,Metals by ICP/MS,15,3,2,1,0.6,1231846
,CB for HBN 1855831 (MMS/11929),1,,1713674,CB,,05/20/2023 13:21,05/19/2023 20:05,MMS11929,,,,Cadmium,7440-43-9,N,EP200.8 ,0,U,,0.1,LOD,ug/L,1,100,100,,,,,,,,,,,3,,.,Metals by ICP/MS,15,7,0.2,0.1,0.06,1231846
,CB for HBN 1855831 (MMS/11929),1,,1713674,CB,,05/20/2023 13:21,05/19/2023 20:05,MMS11929,,,,Chromium,7440-47-3,N,EP200.8 ,0,U,,1,LOD,ug/L,1,100,100,,,,,,,,,,,3,,.,Metals by ICP/MS,15,9,2,1,1,1231846
,CB for HBN 1855831 (MMS/11929),1,,1713674,CB,,05/20/2023 13:21,05/19/2023 20:05,MMS11929,,,,Copper,7440-50-8,N,EP200.8 ,0,U,,0.6,LOD,ug/L,1,100,100,,,,,,,,,,,3,,.,Metals by ICP/MS,15,11,1.2,0.6,0.4,1231846
,CB for HBN 1855831 (MMS/11929),1,,1713674,CB,,05/20/2023 13:21,05/19/2023 20:05,MMS11929,,,,Lead,7439-92-1,N,EP200.8 ,0,U,,0.4,LOD,ug/L,1,100,100,,,,,,,,,,,3,,.,Metals by ICP/MS,15,13,0.8,0.4,0.2,1231846
,CB for HBN 1855831 (MMS/11929),1,,1713674,CB,,05/20/2023 13:21,05/19/2023 20:05,MMS11929,,,,Zinc,7440-66-6,N,EP200.8 ,0,U,,2,LOD,ug/L,1,100,100,,,,,,,,,,,3,,.,Metals by ICP/MS,15,32,4,2,1.24,1231846
,CB for HBN 1855831 (MMS/11929),1,,1713676,CB,,05/20/2023 13:21,05/19/2023 19:35,MMS11929,,,,Arsenic,7440-38-2,N,EP200.8 ,0,U,,1,LOD,ug/L,1,100,100,,,,,,,,,,,3,,.,Metals by ICP/MS,15,3,2,1,0.6,1231846
,CB for HBN 1855831 (MMS/11929),1,,1713676,CB,,05/20/2023 13:21,05/19/2023 19:35,MMS11929,,,,Cadmium,7440-43-9,N,EP200.8 ,0,U,,0.1,LOD,ug/L,1,100,100,,,,,,,,,,,3,,.,Metals by ICP/MS,15,7,0.2,0.1,0.06,1231846
,CB for HBN 1855831 (MMS/11929),1,,1713676,CB,,05/20/2023 13:21,05/19/2023 19:35,MMS11929,,,,Chromium,7440-47-3,N,EP200.8 ,0,U,,1,LOD,ug/L,1,100,100,,,,,,,,,,,3,,.,Metals by ICP/MS,15,9,2,1,1,1231846
,CB for HBN 1855831 (MMS/11929),1,,1713676,CB,,05/20/2023 13:21,05/19/2023 19:35,MMS11929,,,,Copper,7440-50-8,N,EP200.8 ,0,U,,0.6,LOD,ug/L,1,100,100,,,,,,,,,,,3,,.,Metals by ICP/MS,15,11,1.2,0.6,0.4,1231846
